text,problem
Cotton knit fabric is showing dull navy shades after reactive dyeing,Dull Shade
The dyed polyester looks flat and lacks brightness or depth of color,Dull Shade
Shades look washed out and dull compared to the standard,Dull Shade
We are getting permanent crease marks on the fabric after the dyeing machine,Crease Marks
There are friction marks running across the cotton woven fabric,Crease Marks
The rayon fabric has visible crease lines after wet processing,Crease Marks
The dyeing on this polyester batch is patchy and uneven across the fabric,Uneven Dyeing
We are seeing irregular dye uptake with light and dark patches,Uneven Dyeing
The fabric shows blotchy uneven color after the dye bath,Uneven Dyeing
"The fabric feels stiff and harsh, it has very low softness after finishing",Low Softness
Handle of the polyester blend is rough and not soft enough,Low Softness
"Customer is complaining the fabric feels hard, needs better softness",Low Softness
"The fabric does not absorb water well, poor absorbency after finishing",Poor Absorbency
Water just beads up on the fabric surface instead of soaking in,Poor Absorbency
Wetting test shows the cotton fabric has very poor absorbency,Poor Absorbency
Different rolls of the same batch are showing shade variation,Shade Variation
There is batch to batch shade mismatch on the polyester order,Shade Variation
Left and right side of the fabric show inconsistent shade variation,Shade Variation
The white fabric is turning yellow after bleaching,Yellowing
We see yellow staining on the cotton after the bleach bath,Yellowing
"Polyester fabric has yellowish spots after dyeing, looks like staining",Yellowing
